week_end,raw_nascdi,NASCDI,news_volume,disruption_article_count,total_score
2016-01-24,5.31784968806936,108.52620425528936,2622,2622,14410.1
2016-01-31,6.6839507874068795,112.51139823941052,2432,2432,15916.6
2016-02-07,9.268123957042494,120.04995550618482,3205,3205,31280.8
2016-02-14,8.359151926588085,117.39829973249574,3969,3969,33838.5
2016-02-21,6.7836348945780935,112.80219699830464,5040,5040,35758.4
2016-02-28,7.086666920720044,113.68620288056516,3995,3988,30142.2
2016-03-06,6.167766350177177,111.0055835416972,2852,2851,17548.4
2016-03-13,7.104357915326266,113.73781109998028,2678,2678,18994.8
2016-03-20,8.549567880747341,117.95378169160122,2999,2999,26414.0
2016-03-27,7.810488299147608,115.79773664939579,2655,2655,21058.8
2016-04-03,5.985127382160483,110.47278862852481,1951,1941,11609.7
2016-04-10,7.466857679793342,114.79529643638773,4928,4928,37183.4
2016-04-17,5.871111587673978,110.14018143092959,3236,3232,19832.7
2016-04-24,6.086676284993792,110.76902737458956,3104,3101,19113.6
2016-05-01,6.423428555430327,111.75140204871407,2658,2658,17235.3
2016-05-08,6.270175410126347,111.30433154052893,3083,3083,19358.5
2016-05-15,6.099711471719584,110.80705365811039,2535,2535,15022.5
2016-05-22,7.265170319198303,114.20693349860339,2711,2711,19564.4
2016-05-29,5.414028845011839,108.8067783634801,3236,3236,17554.0
2016-06-05,5.6201564915982845,109.40809451609553,3054,3054,16961.3
2016-06-12,6.238412774821235,111.2116734911363,2468,2468,15057.0
2016-06-19,5.656784729992842,109.51494651655857,3645,3645,20634.7
2016-06-26,5.566368229353527,109.25118324560604,3483,3483,19452.2
2016-07-03,5.768278939224503,109.84019773852876,3632,3632,20589.1
2016-07-10,6.4373710410326925,111.79207510707936,5499,5499,41426.1
2016-07-17,7.455532690982842,114.76225914705408,11956,11956,90068.6
2016-07-24,7.031576741442672,113.52549365403222,11086,11086,78063.9
2016-07-31,8.23677872285902,117.0413122770613,7953,7953,65761.8
2016-08-07,8.389470043509627,117.4867438287813,6405,6405,54043.5
2016-08-14,6.910168624128325,113.17132155141167,9677,9677,67447.3
2016-08-21,6.611002401617014,112.29859300241739,18011,18011,117895.0
2016-08-28,7.946820226915146,116.1954445340072,11610,11610,94413.8
2016-09-04,7.846851154141876,115.90381447265419,6737,6736,53017.700000000004
2016-09-11,6.411503492512906,111.71661422150139,6034,6034,38715.5
2016-09-18,6.591178507368637,112.24076268214402,7411,7411,45904.8
2016-09-25,5.522958402168018,109.12454797517451,11780,11780,63978.3
2016-10-02,5.362918450677759,108.6576789768205,12009,12009,63419.6
2016-10-09,5.286039966896367,108.43340884686998,9940,9940,52413.5
2016-10-16,5.241383321207506,108.30313635398012,6436,6436,34248.8
2016-10-23,4.925962545013657,107.38298997508903,5502,5502,27142.5
2016-10-30,4.8385388937599405,107.12795745281439,5675,5675,27487.9
2016-11-06,5.20838784410421,108.20688185501294,5292,5292,27475.5
2016-11-13,4.749610536343117,106.86853539747223,3479,3479,16317.1
2016-11-20,5.231120954731006,108.27319894951948,4350,4350,22452.1
2016-11-27,4.9269481784966365,107.38586526786847,5386,5386,26344.1
2016-12-04,4.813498523870797,107.05490961507326,4464,4464,20970.5
2016-12-11,5.209485522874371,108.21008400662049,3105,3105,16209.400000000001
2016-12-18,5.358088302982446,108.64358845632599,3544,3544,18869.3
2016-12-25,5.501202514388552,109.06108163791734,2773,2773,15389.3
2017-01-01,6.327494513463288,111.47154299062174,2775,2775,17601.1
2017-01-08,8.824793402235768,118.75667035997591,3473,3473,30344.3
2017-01-15,7.4824583015359805,114.84080661418311,3514,3514,26257.4
2017-01-22,7.9238389178738435,116.12840339438506,3368,3366,27192.7
2017-01-29,12.887594207460532,130.60868434013895,4931,4931,66805.7
2017-02-05,8.38174002190675,117.46419378793597,4252,4249,36509.0
2017-02-12,6.635265154500488,112.369372373634,3261,3260,21307.1
2017-02-19,5.011203858205929,107.63165617460909,3317,3317,16550.4
2017-02-26,6.142576117683502,110.932098524343,2925,2925,17848.8
2017-03-05,5.927721097375482,110.30532285246558,4459,4459,26741.9
2017-03-12,7.13771002028823,113.8351059547437,3387,3387,24887.8
2017-03-19,6.351078501186562,111.54034226619656,2692,2692,17167.9
2017-03-26,5.63544049289163,109.45268104782227,2609,2609,15207.5
2017-04-02,6.327190143723326,111.47065508235696,3976,3976,26109.9
2017-04-09,9.05059214380285,119.41537108640944,4732,4732,43794.9
2017-04-16,4.731290068655444,106.81509087740663,4226,4212,19983.9
2017-04-23,5.342121141965841,108.59700900912568,3737,3736,20135.2
2017-04-30,5.282326830818198,108.42257687581886,4640,4640,24617.5
2017-05-07,4.586693198037783,106.3932724781771,4600,4600,20546.7
2017-05-14,4.485809073307947,106.09897302467279,3910,3910,17416.1
2017-05-21,4.819757799658757,107.07316919207472,3475,3475,16713.9
2017-05-28,5.9918177647215884,110.4923058314221,5269,5269,32589.0
2017-06-04,5.449781796984358,108.91107697592142,3970,3968,20814.4
2017-06-11,6.0327287610790155,110.61165150550663,4073,4072,24503.9
2017-06-18,5.694233187610182,109.62419126285415,3582,3582,20045.1
2017-06-25,5.240676222740714,108.30107360433634,4052,4052,21281.2
2017-07-02,6.04245573040045,110.64002704787482,4442,4442,26960.9
2017-07-09,5.831408622103186,110.02435982766667,4375,4367,26765.4
2017-07-16,6.550175779508748,112.12114940866152,7832,7831,52672.2
2017-07-23,5.993409599846456,110.49694953734286,4289,4289,26056.2
2017-07-30,5.801306712724011,109.93654645263418,3415,3415,19844.2
2017-08-06,5.399549334159915,108.76453869354053,4157,4157,22732.4
2017-08-13,5.910630115236202,110.25546499111314,3998,3997,23847.300000000003
2017-08-20,5.823548256550414,110.0014295470827,4252,4252,24046.1
2017-08-27,6.631684381725907,112.35892653318582,3385,3385,21692.1
2017-09-03,5.659844234533687,109.52387171184351,1858,1858,12503.3
2017-09-10,5.432276700373704,108.86001105866386,3101,3101,16807.1
2017-09-17,5.653184192053191,109.50444301711504,3040,3040,17029.2
2017-09-24,5.174874024471594,108.10911524575569,3251,3251,16512.5
2017-10-01,4.660718180972688,106.60921836740148,2647,2647,12259.5
2017-10-08,5.185685381423389,108.14065416678092,2962,2962,16147.8
2017-10-15,4.716332944244558,106.77145791184432,2831,2831,13350.4
2017-10-22,4.575233706926936,106.3598428183531,2199,2199,10068.0
2017-10-29,4.916582012972632,107.35562506053338,2609,2609,12744.0
2017-11-05,5.938090331899544,110.3355720126963,2518,2518,14758.1
2017-11-12,5.100696379865488,107.89272401147302,2317,2317,11837.6
2017-11-19,5.364089476973431,108.66109509803657,2937,2937,15871.9
2017-11-26,4.4436604567133475,105.97601696133803,2379,2379,10450.6
2017-12-03,4.8135284721743,107.0549969803488,2108,2108,10095.9
2017-12-10,7.693972928737689,115.45783768185933,3203,3203,27528.4
2017-12-17,7.89356734682692,116.04009508185638,2886,2886,23387.300000000003
2017-12-24,5.868217257922647,110.13173808400698,2322,2322,13812.3
2017-12-31,4.733680992919745,106.82206568842113,3005,3005,13767.7
2018-01-07,7.123217614368931,113.79282866727716,3511,3511,25622.8
2018-01-14,5.53515155329238,109.1601178700614,2725,2725,15637.2
2018-01-21,5.788147177372705,109.8981574189519,3337,3337,19257.8
2018-01-28,5.530604870960464,109.14685427552534,3186,3186,17655.6
2018-02-04,6.492326712720489,111.95239194769222,2971,2971,20290.3
2018-02-11,4.1236454304773185,105.0424682232522,4093,4093,16367.900000000001
2018-02-18,5.719810349163178,109.69880503075267,3773,3773,20882.1
2018-02-25,5.101437511879019,107.89488604387546,2305,2305,11840.6
2018-03-04,1.9858595155451633,98.80611311625604,875,875,4052.4
2018-03-11,0.0,93.01295813050994,0,0,0.0
2018-03-18,1.7410714285714286,98.09201661778654,50,50,310.9
2018-03-25,7.923909074940405,116.12860805677772,153,153,1223.6
2018-04-01,2.5599612034394643,100.48088418113527,87,87,509.0
2018-04-08,0.0,93.01295813050994,0,0,0.0
2018-04-15,0.0,93.01295813050994,0,0,0.0
2018-04-22,0.0,93.01295813050994,0,0,0.0
2018-04-29,0.0,93.01295813050994,0,0,0.0
2018-05-06,0.0,93.01295813050994,0,0,0.0
2018-05-13,0.0,93.01295813050994,0,0,0.0
2018-05-20,0.0,93.01295813050994,0,0,0.0
2018-05-27,0.0,93.01295813050994,0,0,0.0
2018-06-03,0.0,93.01295813050994,0,0,0.0
2018-06-10,0.0,93.01295813050994,0,0,0.0
2018-06-17,0.0,93.01295813050994,0,0,0.0
2018-06-24,0.0,93.01295813050994,0,0,0.0
2018-07-01,0.0,93.01295813050994,0,0,0.0
2018-07-08,0.0,93.01295813050994,0,0,0.0
2018-07-15,0.0,93.01295813050994,0,0,0.0
2018-07-22,0.0,93.01295813050994,0,0,0.0
2018-07-29,0.0,93.01295813050994,0,0,0.0
2018-08-05,0.0,93.01295813050994,0,0,0.0
2018-08-12,0.0,93.01295813050994,0,0,0.0
2018-08-19,0.0,93.01295813050994,0,0,0.0
2018-08-26,0.0,93.01295813050994,0,0,0.0
2018-09-02,0.0,93.01295813050994,0,0,0.0
2018-09-09,0.0,93.01295813050994,0,0,0.0
2018-09-16,0.0,93.01295813050994,0,0,0.0
2018-09-23,0.0,93.01295813050994,0,0,0.0
2018-09-30,0.0,93.01295813050994,0,0,0.0
2018-10-07,0.0,93.01295813050994,0,0,0.0
2018-10-14,0.0,93.01295813050994,0,0,0.0
2018-10-21,0.0,93.01295813050994,0,0,0.0
2018-10-28,0.0,93.01295813050994,0,0,0.0
2018-11-04,0.0,93.01295813050994,0,0,0.0
2018-11-11,0.0,93.01295813050994,0,0,0.0
2018-11-18,0.0,93.01295813050994,0,0,0.0
2018-11-25,0.0,93.01295813050994,0,0,0.0
2018-12-02,0.0,93.01295813050994,0,0,0.0
2018-12-09,0.0,93.01295813050994,0,0,0.0
2018-12-16,0.0,93.01295813050994,0,0,0.0
2018-12-23,0.0,93.01295813050994,0,0,0.0
2018-12-30,0.0,93.01295813050994,0,0,0.0
2019-01-06,0.0,93.01295813050994,0,0,0.0
2019-01-13,0.0,93.01295813050994,0,0,0.0
2019-01-20,0.0,93.01295813050994,0,0,0.0
2019-01-27,0.0,93.01295813050994,0,0,0.0
2019-02-03,0.0,93.01295813050994,0,0,0.0
2019-02-10,0.0,93.01295813050994,0,0,0.0
2019-02-17,6.377065899985253,111.61615277934652,6476,6476,25533.4
2019-02-24,3.13397368205923,102.15539500446695,7070,7070,25431.2
2019-03-03,0.0,93.01295813050994,0,0,0.0
2019-03-10,0.0,93.01295813050994,0,0,0.0
2019-03-17,0.0,93.01295813050994,0,0,0.0
2019-03-24,0.0,93.01295813050994,0,0,0.0
2019-03-31,0.0,93.01295813050994,0,0,0.0
2019-04-07,0.0,93.01295813050994,0,0,0.0
2019-04-14,0.0,93.01295813050994,0,0,0.0
2019-04-21,0.0,93.01295813050994,0,0,0.0
2019-04-28,0.0,93.01295813050994,0,0,0.0
2019-05-05,0.0,93.01295813050994,0,0,0.0
2019-05-12,0.0,93.01295813050994,0,0,0.0
2019-05-19,0.0,93.01295813050994,0,0,0.0
2019-05-26,0.0,93.01295813050994,0,0,0.0
2019-06-02,0.0,93.01295813050994,0,0,0.0
2019-06-09,0.0,93.01295813050994,0,0,0.0
2019-06-16,0.0,93.01295813050994,0,0,0.0
2019-06-23,0.0,93.01295813050994,0,0,0.0
2019-06-30,0.0,93.01295813050994,0,0,0.0
2019-07-07,0.0,93.01295813050994,0,0,0.0
2019-07-14,0.0,93.01295813050994,0,0,0.0
2019-07-21,0.0,93.01295813050994,0,0,0.0
2019-07-28,0.0,93.01295813050994,0,0,0.0
2019-08-04,2.6216029915358274,100.66070577941319,466,466,2836.1000000000004
2019-08-11,5.956730188388998,110.38994825467626,4630,4630,27442.9
2019-08-18,6.57483159113746,112.19307541195953,3261,3261,20924.1
2019-08-25,6.96376934999541,113.3276857402507,2033,2033,14744.699999999999
2019-09-01,5.387029909456572,108.72801699244782,1757,1757,9502.3
2019-09-08,5.417998679444748,108.81835917569644,1427,1427,7721.6
2019-09-15,4.811907418247576,107.05026803725676,1456,1456,6950.6
2019-09-22,5.531127740964945,109.14837959337872,1093,1093,6084.8
2019-09-29,5.572117898892327,109.26795619781862,2106,2106,11765.3
2019-10-06,3.5528474078295647,103.37733461995798,673,673,4189.4
2019-10-13,0.0,93.01295813050994,0,0,0.0
2019-10-20,0.0,93.01295813050994,0,0,0.0
2019-10-27,0.0,93.01295813050994,0,0,0.0
2019-11-03,0.0,93.01295813050994,0,0,0.0
2019-11-10,0.0,93.01295813050994,0,0,0.0
2019-11-17,0.0,93.01295813050994,0,0,0.0
2019-11-24,0.0,93.01295813050994,0,0,0.0
2019-12-01,0.0,93.01295813050994,0,0,0.0
2019-12-08,0.0,93.01295813050994,0,0,0.0
2019-12-15,0.0,93.01295813050994,0,0,0.0
2019-12-22,0.0,93.01295813050994,0,0,0.0
2019-12-29,0.0,93.01295813050994,0,0,0.0
2020-01-05,0.0,93.01295813050994,0,0,0.0
2020-01-12,5.864286659284808,110.12027173056278,591,591,3797.0
2020-01-19,10.810237773587742,124.54861428590948,1457,1456,18357.8
2020-01-26,4.250712483358359,105.41314858868569,310,310,2300.1
2020-02-02,0.0,93.01295813050994,0,0,0.0
2020-02-09,0.0,93.01295813050994,0,0,0.0
2020-02-16,0.0,93.01295813050994,0,0,0.0
2020-02-23,0.0,93.01295813050994,0,0,0.0
2020-03-01,0.0,93.01295813050994,0,0,0.0
2020-03-08,0.0,93.01295813050994,0,0,0.0
2020-03-15,0.0,93.01295813050994,0,0,0.0
2020-03-22,0.9467532467532467,95.7748293750598,264,264,1749.6
2020-03-29,5.049911077877892,107.74457298512448,1822,1822,9237.0
2020-04-05,4.309060551582317,105.58336173805215,1802,1802,7767.8
2020-04-12,4.526499557719476,106.2176754206861,1510,1510,6832.9
2020-04-19,4.528949627167932,106.22482277019881,1371,1371,6186.1
2020-04-26,4.606157750899807,106.45005452674361,1267,1267,5872.6
2020-05-03,4.383574557363142,105.80073420610339,1123,1123,4907.9
2020-05-10,4.966365805247313,107.5008544799197,1454,1454,7209.2
2020-05-17,5.549694283870059,109.20254196476344,1196,1196,6646.7
2020-05-24,5.392551650858126,108.74412503205485,1087,1087,5857.9
2020-05-31,4.937217668910465,107.41582345429921,1366,1366,6702.2
2020-06-07,4.524105808059475,106.21069236741928,1110,1110,5001.9
2020-06-14,4.958640423763474,107.47831797524272,1094,1094,5410.0
2020-06-21,4.541109087649162,106.26029438264644,1416,1416,6376.7
2020-06-28,5.010914675764565,107.63081257077465,1103,1103,5557.2
2020-07-05,3.6391591509247614,103.62912348061316,682,682,3466.7
2020-07-12,0.0,93.01295813050994,0,0,0.0
2020-07-19,0.0,93.01295813050994,0,0,0.0
2020-07-26,0.0,93.01295813050994,0,0,0.0
2020-08-02,0.0,93.01295813050994,0,0,0.0
2020-08-09,0.0,93.01295813050994,0,0,0.0
2020-08-16,0.0,93.01295813050994,0,0,0.0
2020-08-23,0.0,93.01295813050994,0,0,0.0
2020-08-30,0.0,93.01295813050994,0,0,0.0
2020-09-06,0.0,93.01295813050994,0,0,0.0
2020-09-13,0.0,93.01295813050994,0,0,0.0
2020-09-20,0.0,93.01295813050994,0,0,0.0
2020-09-27,0.0,93.01295813050994,0,0,0.0
2020-10-04,0.0,93.01295813050994,0,0,0.0
2020-10-11,0.0,93.01295813050994,0,0,0.0
2020-10-18,0.0,93.01295813050994,0,0,0.0
2020-10-25,0.0,93.01295813050994,0,0,0.0
2020-11-01,0.0,93.01295813050994,0,0,0.0
2020-11-08,0.0,93.01295813050994,0,0,0.0
2020-11-15,0.0,93.01295813050994,0,0,0.0
2020-11-22,0.0,93.01295813050994,0,0,0.0
2020-11-29,0.0,93.01295813050994,0,0,0.0
2020-12-06,0.0,93.01295813050994,0,0,0.0
2020-12-13,0.0,93.01295813050994,0,0,0.0
2020-12-20,0.0,93.01295813050994,0,0,0.0
2020-12-27,0.0,93.01295813050994,0,0,0.0
2021-01-03,3.422754017596198,102.99782581465554,321,321,1912.5
2021-01-10,8.811503298618351,118.71790043217909,688,688,6198.9
2021-01-17,3.255430928985351,102.50971042812968,186,186,1414.8000000000002
2021-01-24,0.0,93.01295813050994,0,0,0.0
2021-01-31,0.0,93.01295813050994,0,0,0.0
2021-02-07,3.2606757962481914,102.52501076971751,302,301,1707.4
2021-02-14,7.20418507568087,114.02902717402488,483,483,3987.7
2021-02-21,0.0,93.01295813050994,0,0,0.0
2021-02-28,0.0,93.01295813050994,0,0,0.0
2021-03-07,0.0,93.01295813050994,0,0,0.0
2021-03-14,0.0,93.01295813050994,0,0,0.0
2021-03-21,0.0,93.01295813050994,0,0,0.0
2021-03-28,0.0,93.01295813050994,0,0,0.0
2021-04-04,0.0,93.01295813050994,0,0,0.0
2021-04-11,0.0,93.01295813050994,0,0,0.0
2021-04-18,0.0,93.01295813050994,0,0,0.0
2021-04-25,0.0,93.01295813050994,0,0,0.0
2021-05-02,0.0,93.01295813050994,0,0,0.0
2021-05-09,0.0,93.01295813050994,0,0,0.0
2021-05-16,0.0,93.01295813050994,0,0,0.0
2021-05-23,0.0,93.01295813050994,0,0,0.0
2021-05-30,0.0,93.01295813050994,0,0,0.0
2021-06-06,0.0,93.01295813050994,0,0,0.0
2021-06-13,0.0,93.01295813050994,0,0,0.0
2021-06-20,0.0,93.01295813050994,0,0,0.0
2021-06-27,0.0,93.01295813050994,0,0,0.0
2021-07-04,0.0,93.01295813050994,0,0,0.0
2021-07-11,0.0,93.01295813050994,0,0,0.0
2021-07-18,0.0,93.01295813050994,0,0,0.0
2021-07-25,0.0,93.01295813050994,0,0,0.0
2021-08-01,0.0,93.01295813050994,0,0,0.0
2021-08-08,0.0,93.01295813050994,0,0,0.0
2021-08-15,0.0,93.01295813050994,0,0,0.0
2021-08-22,0.0,93.01295813050994,0,0,0.0
2021-08-29,0.0,93.01295813050994,0,0,0.0
2021-09-05,0.0,93.01295813050994,0,0,0.0
2021-09-12,0.0,93.01295813050994,0,0,0.0
2021-09-19,0.0,93.01295813050994,0,0,0.0
2021-09-26,0.0,93.01295813050994,0,0,0.0
2021-10-03,0.0,93.01295813050994,0,0,0.0
2021-10-10,0.0,93.01295813050994,0,0,0.0
2021-10-17,0.0,93.01295813050994,0,0,0.0
2021-10-24,0.0,93.01295813050994,0,0,0.0
2021-10-31,0.0,93.01295813050994,0,0,0.0
2021-11-07,0.0,93.01295813050994,0,0,0.0
2021-11-14,0.0,93.01295813050994,0,0,0.0
2021-11-21,0.0,93.01295813050994,0,0,0.0
2021-11-28,0.0,93.01295813050994,0,0,0.0
2021-12-05,0.0,93.01295813050994,0,0,0.0
2021-12-12,0.0,93.01295813050994,0,0,0.0
2021-12-19,0.0,93.01295813050994,0,0,0.0
2021-12-26,0.0,93.01295813050994,0,0,0.0
2022-01-02,1.4727697302697302,97.30932614596134,153,153,759.0
2022-01-09,8.251835441296432,117.08523577859897,625,625,5183.099999999999
2022-01-16,5.43113787646974,108.85668887835577,400,400,2520.4
2022-01-23,0.0,93.01295813050994,0,0,0.0
2022-01-30,0.0,93.01295813050994,0,0,0.0
2022-02-06,0.0,93.01295813050994,0,0,0.0
2022-02-13,1.9771164021164023,98.78060768107582,90,90,615.3
2022-02-20,3.9567540491339948,104.55561221438607,407,407,1510.0
2022-02-27,0.7763265306122449,95.27766007754,35,35,190.2
2022-03-06,0.0,93.01295813050994,0,0,0.0
2022-03-13,0.0,93.01295813050994,0,0,0.0
2022-03-20,0.0,93.01295813050994,0,0,0.0
2022-03-27,0.0,93.01295813050994,0,0,0.0
2022-04-03,0.0,93.01295813050994,0,0,0.0
2022-04-10,0.0,93.01295813050994,0,0,0.0
2022-04-17,0.0,93.01295813050994,0,0,0.0
2022-04-24,0.0,93.01295813050994,0,0,0.0
2022-05-01,0.0,93.01295813050994,0,0,0.0
2022-05-08,0.0,93.01295813050994,0,0,0.0
2022-05-15,0.0,93.01295813050994,0,0,0.0
2022-05-22,0.0,93.01295813050994,0,0,0.0
2022-05-29,0.0,93.01295813050994,0,0,0.0
2022-06-05,0.0,93.01295813050994,0,0,0.0
2022-06-12,0.0,93.01295813050994,0,0,0.0
2022-06-19,0.0,93.01295813050994,0,0,0.0
2022-06-26,0.0,93.01295813050994,0,0,0.0
2022-07-03,0.0,93.01295813050994,0,0,0.0
2022-07-10,0.0,93.01295813050994,0,0,0.0
2022-07-17,0.0,93.01295813050994,0,0,0.0
2022-07-24,0.0,93.01295813050994,0,0,0.0
2022-07-31,0.0,93.01295813050994,0,0,0.0
2022-08-07,0.0,93.01295813050994,0,0,0.0
2022-08-14,0.0,93.01295813050994,0,0,0.0
2022-08-21,0.0,93.01295813050994,0,0,0.0
2022-08-28,0.0,93.01295813050994,0,0,0.0
2022-09-04,0.0,93.01295813050994,0,0,0.0
2022-09-11,0.0,93.01295813050994,0,0,0.0
2022-09-18,0.0,93.01295813050994,0,0,0.0
2022-09-25,0.0,93.01295813050994,0,0,0.0
2022-10-02,0.0,93.01295813050994,0,0,0.0
2022-10-09,0.0,93.01295813050994,0,0,0.0
2022-10-16,0.0,93.01295813050994,0,0,0.0
2022-10-23,0.0,93.01295813050994,0,0,0.0
2022-10-30,0.0,93.01295813050994,0,0,0.0
2022-11-06,0.0,93.01295813050994,0,0,0.0
2022-11-13,0.0,93.01295813050994,0,0,0.0
2022-11-20,0.0,93.01295813050994,0,0,0.0
2022-11-27,0.0,93.01295813050994,0,0,0.0
2022-12-04,0.0,93.01295813050994,0,0,0.0
2022-12-11,0.0,93.01295813050994,0,0,0.0
2022-12-18,0.0,93.01295813050994,0,0,0.0
2022-12-25,0.0,93.01295813050994,0,0,0.0
2023-01-01,0.0,93.01295813050994,0,0,0.0
2023-01-08,2.8392857142857144,101.29573043283793,19,19,191.39999999999998
2023-01-15,11.578322298819192,126.7892726315717,270,270,3344.0
2023-01-22,6.1236588514684485,110.87691302192827,190,190,1339.3
2023-01-29,1.0016483516483519,95.934969530054,26,26,182.3
2023-02-05,9.90661267712213,121.9125566031494,393,393,4097.5
2023-02-12,1.8036564625850338,98.27458985571748,52,52,333.8
2023-02-19,0.0,93.01295813050994,0,0,0.0
2023-02-26,0.0,93.01295813050994,0,0,0.0
2023-03-05,0.0,93.01295813050994,0,0,0.0
2023-03-12,0.0,93.01295813050994,0,0,0.0
2023-03-19,0.0,93.01295813050994,0,0,0.0
2023-03-26,0.0,93.01295813050994,0,0,0.0
2023-04-02,0.0,93.01295813050994,0,0,0.0
2023-04-09,0.0,93.01295813050994,0,0,0.0
2023-04-16,0.0,93.01295813050994,0,0,0.0
2023-04-23,0.0,93.01295813050994,0,0,0.0
2023-04-30,0.0,93.01295813050994,0,0,0.0
2023-05-07,0.0,93.01295813050994,0,0,0.0
2023-05-14,0.0,93.01295813050994,0,0,0.0
2023-05-21,0.0,93.01295813050994,0,0,0.0
2023-05-28,0.0,93.01295813050994,0,0,0.0
2023-06-04,0.0,93.01295813050994,0,0,0.0
2023-06-11,0.0,93.01295813050994,0,0,0.0
2023-06-18,0.0,93.01295813050994,0,0,0.0
2023-06-25,0.0,93.01295813050994,0,0,0.0
2023-07-02,0.0,93.01295813050994,0,0,0.0
2023-07-09,0.0,93.01295813050994,0,0,0.0
2023-07-16,0.0,93.01295813050994,0,0,0.0
2023-07-23,0.0,93.01295813050994,0,0,0.0
2023-07-30,0.0,93.01295813050994,0,0,0.0
2023-08-06,0.0,93.01295813050994,0,0,0.0
2023-08-13,7.537992155723766,115.00281013041742,355,355,2709.0
2023-08-20,4.223635182426111,105.33415860995443,117,117,847.2
2023-08-27,0.0,93.01295813050994,0,0,0.0
2023-09-03,0.0,93.01295813050994,0,0,0.0
2023-09-10,0.0,93.01295813050994,0,0,0.0
2023-09-17,0.0,93.01295813050994,0,0,0.0
2023-09-24,0.0,93.01295813050994,0,0,0.0
2023-10-01,0.0,93.01295813050994,0,0,0.0
2023-10-08,0.0,93.01295813050994,0,0,0.0
2023-10-15,0.0,93.01295813050994,0,0,0.0
2023-10-22,0.0,93.01295813050994,0,0,0.0
2023-10-29,0.0,93.01295813050994,0,0,0.0
2023-11-05,0.0,93.01295813050994,0,0,0.0
2023-11-12,0.0,93.01295813050994,0,0,0.0
2023-11-19,0.0,93.01295813050994,0,0,0.0
2023-11-26,0.0,93.01295813050994,0,0,0.0
2023-12-03,0.0,93.01295813050994,0,0,0.0
2023-12-10,0.0,93.01295813050994,0,0,0.0
