market_role,producer_market,variety,grade,week_end,avg_price_prod,avg_price_term,terminal_market,log_price_prod,log_price_term,NASCDI,d_nascdi,NASCDI_pos,NASCDI_neg
producer,Sopore,Delicious,A,2024-01-14,47.767857142857146,78.125,Azadpur,3.8663529685949576,4.358310108056566,122.6455776795122,10.16637264905468,802.1268020104144,776.7108703877776
producer,Sopore,Delicious,A,2024-01-21,43.75,78.125,Azadpur,3.7784916128036232,4.358310108056566,97.2296460568755,-25.415931622636705,802.1268020104144,802.1268020104143
producer,Sopore,Delicious,A,2024-01-28,46.42857142857143,78.125,Azadpur,3.8379150332744243,4.358310108056566,97.2296460568755,0.0,802.1268020104144,802.1268020104143
producer,Sopore,Delicious,A,2024-02-04,45.982142857142854,78.125,Azadpur,3.828253122362687,4.358310108056566,97.2296460568755,0.0,802.1268020104144,802.1268020104143
producer,Sopore,Delicious,A,2024-02-11,47.32142857142857,78.125,Azadpur,3.8569632282451187,4.358310108056566,97.2296460568755,0.0,802.1268020104144,802.1268020104143
producer,Sopore,Delicious,A,2024-02-18,42.857142857142854,78.125,Azadpur,3.7578723256008875,4.358310108056566,97.2296460568755,0.0,802.1268020104144,802.1268020104143
producer,Sopore,Delicious,A,2024-02-25,51.339285714285715,78.125,Azadpur,3.9384562624963015,4.358310108056566,122.6455776795122,25.415931622636705,827.5427336330511,802.1268020104143
producer,Sopore,Delicious,A,2024-03-03,53.125,78.125,Azadpur,3.972647627244581,4.358310108056566,97.2296460568755,-25.415931622636705,827.5427336330511,827.542733633051
producer,Sopore,Delicious,A,2024-09-01,65.625,74.0,Azadpur,4.183956720911787,4.30406509320417,97.2296460568755,0.0,827.5427336330511,827.542733633051
producer,Sopore,Delicious,A,2024-09-08,47.32142857142857,74.0,Azadpur,3.8569632282451187,4.30406509320417,97.2296460568755,0.0,827.5427336330511,827.542733633051
producer,Sopore,Delicious,A,2024-09-15,46.875,78.85714285714286,Azadpur,3.847484484290575,4.367637897221782,97.2296460568755,0.0,827.5427336330511,827.542733633051
producer,Sopore,Delicious,A,2024-09-22,46.875,73.14285714285714,Azadpur,3.847484484290575,4.292414475984194,97.2296460568755,0.0,827.5427336330511,827.542733633051
producer,Sopore,Delicious,A,2024-09-29,45.982142857142854,61.714285714285715,Azadpur,3.828253122362687,4.122515439188797,97.2296460568755,0.0,827.5427336330511,827.542733633051
producer,Sopore,Delicious,A,2024-10-06,44.86607142857143,63.142857142857146,Azadpur,3.803681861632182,4.145399733022385,97.2296460568755,0.0,827.5427336330511,827.542733633051
producer,Sopore,Delicious,A,2024-10-13,44.19642857142857,63.714285714285715,Azadpur,3.7886439842676416,4.154408802964751,97.2296460568755,0.0,827.5427336330511,827.542733633051
producer,Sopore,Delicious,A,2024-10-20,46.42857142857143,65.57142857142857,Azadpur,3.8379150332744243,4.183140061005232,97.2296460568755,0.0,827.5427336330511,827.542733633051
producer,Sopore,Delicious,A,2024-10-27,40.17857142857143,69.71428571428571,Azadpur,3.693333804463317,4.244405256797834,97.2296460568755,0.0,827.5427336330511,827.542733633051
producer,Sopore,Delicious,A,2024-11-03,36.160714285714285,72.0,Azadpur,3.58797328880549,4.276666119016055,97.2296460568755,0.0,827.5427336330511,827.542733633051
producer,Sopore,Delicious,A,2024-11-10,43.30357142857143,73.5,Azadpur,3.768235112636434,4.297285406218791,97.2296460568755,0.0,827.5427336330511,827.542733633051
producer,Sopore,Delicious,A,2024-11-17,48.660714285714285,74.14285714285714,Azadpur,3.8848720163621953,4.305993734110575,97.2296460568755,0.0,827.5427336330511,827.542733633051
producer,Sopore,Delicious,A,2024-11-24,45.982142857142854,71.42857142857143,Azadpur,3.828253122362687,4.268697949366879,97.2296460568755,0.0,827.5427336330511,827.542733633051
producer,Sopore,Delicious,A,2024-12-01,46.42857142857143,71.0,Azadpur,3.8379150332744243,4.2626798770413155,97.2296460568755,0.0,827.5427336330511,827.542733633051
producer,Sopore,Delicious,A,2024-12-08,42.63392857142857,70.35714285714286,Azadpur,3.752650381619736,4.25358431155683,97.2296460568755,0.0,827.5427336330511,827.542733633051
producer,Sopore,Delicious,A,2024-12-15,50.669642857142854,69.85714285714286,Azadpur,3.925326971054509,4.246452340419559,97.2296460568755,0.0,827.5427336330511,827.542733633051
producer,Sopore,Delicious,A,2024-12-22,58.482142857142854,69.64285714285714,Azadpur,4.068721457334203,4.2433801413825885,97.2296460568755,0.0,827.5427336330511,827.542733633051
producer,Sopore,Delicious,A,2024-12-29,61.607142857142854,68.07142857142857,Azadpur,4.120777819290256,4.220557574038944,127.72876400403956,30.499117947164066,858.0418515802152,827.542733633051
producer,Sopore,Delicious,A,2025-01-05,61.160714285714285,68.71428571428571,Azadpur,4.113505059961176,4.229957121050448,127.72876400403956,0.0,858.0418515802152,827.542733633051
producer,Sopore,Delicious,A,2025-01-12,59.82142857142857,68.5,Azadpur,4.0913639340839625,4.22683374526818,122.6455776795122,-5.083186324527361,858.0418515802152,832.6259199575783
producer,Sopore,Delicious,A,2025-01-19,59.82142857142857,68.64285714285714,Azadpur,4.0913639340839625,4.228917079355034,97.2296460568755,-25.415931622636705,858.0418515802152,858.0418515802149
producer,Sopore,Delicious,A,2025-01-26,63.839285714285715,68.28571428571429,Azadpur,4.156368764392959,4.223700583436143,97.2296460568755,0.0,858.0418515802152,858.0418515802149
producer,Sopore,Delicious,A,2025-02-02,64.28571428571429,66.07142857142857,Azadpur,4.163337433709052,4.190736407897167,97.2296460568755,0.0,858.0418515802152,858.0418515802149
producer,Sopore,Delicious,A,2025-02-09,65.625,66.62857142857142,Azadpur,4.183956720911787,4.199133485980969,97.2296460568755,0.0,858.0418515802152,858.0418515802149
producer,Sopore,Delicious,A,2025-02-16,62.94642857142857,66.68571428571428,Azadpur,4.14228402451122,4.199990751357087,109.4292932357411,12.199647178865604,870.2414987590807,858.0418515802149
producer,Sopore,Delicious,A,2025-02-23,61.830357142857146,66.41428571428573,Azadpur,4.1243944597604445,4.195912179641226,109.42929323574111,1.4210854715202004e-14,870.2414987590807,858.0418515802149
producer,Sopore,Delicious,A,2025-03-02,60.9375,67.22857142857143,Azadpur,4.109848748758066,4.208098327237948,97.2296460568755,-12.199647178865618,870.2414987590807,870.2414987590805
producer,Sopore,Delicious,B,2015-09-06,31.25,25.0,Azadpur,3.4420193761824107,3.2188758248682006,97.2296460568755,0.0,300.92463041201864,300.9246304120186
producer,Sopore,Delicious,B,2015-09-13,18.080357142857142,25.0,Azadpur,2.894826108245545,3.2188758248682006,97.2296460568755,0.0,300.92463041201864,300.9246304120186
producer,Sopore,Delicious,B,2015-09-20,17.633928571428573,25.892857142857142,Azadpur,2.869824806040128,3.253967144679471,97.2296460568755,0.0,300.92463041201864,300.9246304120186
