market_role_prod,market_name_prod,variety,grade,week_end,avg_price_prod,market_role_term,market_name_term,avg_price_term,NASCDI
producer,Shopian,American,A,2023-10-22 23:59:59.999999999,43.75,terminal,Azadpur,62.5,
producer,Shopian,American,A,2023-10-29 23:59:59.999999999,43.75,terminal,Azadpur,62.5,
producer,Shopian,American,A,2023-11-05 23:59:59.999999999,43.75,terminal,Azadpur,66.07142857142857,
producer,Shopian,American,A,2023-11-12 23:59:59.999999999,43.75,terminal,Azadpur,68.75,
producer,Shopian,American,A,2023-11-19 23:59:59.999999999,43.75,terminal,Azadpur,68.75,
producer,Shopian,American,A,2023-11-26 23:59:59.999999999,43.75,terminal,Azadpur,68.75,
producer,Shopian,American,A,2023-12-03 23:59:59.999999999,43.75,terminal,Azadpur,68.75,
producer,Shopian,American,A,2024-10-06 23:59:59.999999999,40.625,terminal,Azadpur,87.32142857142857,
producer,Shopian,American,A,2024-10-13 23:59:59.999999999,40.625,terminal,Azadpur,71.07142857142857,
producer,Shopian,American,A,2024-10-20 23:59:59.999999999,40.625,terminal,Azadpur,68.66071428571429,
producer,Shopian,American,A,2024-10-27 23:59:59.999999999,40.625,terminal,Azadpur,65.80357142857143,
producer,Shopian,American,A,2024-11-03 23:59:59.999999999,43.30357142857143,terminal,Azadpur,67.14285714285714,
producer,Shopian,American,A,2024-11-10 23:59:59.999999999,46.875,terminal,Azadpur,63.214285714285715,
producer,Shopian,American,A,2024-11-17 23:59:59.999999999,49.107142857142854,terminal,Azadpur,65.08928571428571,
producer,Shopian,American,A,2024-11-24 23:59:59.999999999,50.0,terminal,Azadpur,64.64285714285714,
producer,Shopian,American,A,2024-12-01 23:59:59.999999999,50.0,terminal,Azadpur,64.46428571428571,
producer,Shopian,American,B,2017-10-01 23:59:59.999999999,13.75,terminal,Azadpur,31.25,
producer,Shopian,American,B,2017-10-08 23:59:59.999999999,14.821428571428571,terminal,Azadpur,31.25,
producer,Shopian,American,B,2017-10-15 23:59:59.999999999,16.517857142857142,terminal,Azadpur,31.25,
producer,Shopian,American,B,2017-10-22 23:59:59.999999999,18.75,terminal,Azadpur,33.92857142857143,
producer,Shopian,American,B,2017-10-29 23:59:59.999999999,18.75,terminal,Azadpur,34.375,
producer,Shopian,American,B,2017-11-05 23:59:59.999999999,20.089285714285715,terminal,Azadpur,34.375,
producer,Shopian,American,B,2017-11-12 23:59:59.999999999,21.875,terminal,Azadpur,34.375,
producer,Shopian,American,B,2017-11-19 23:59:59.999999999,21.875,terminal,Azadpur,34.375,
producer,Shopian,American,B,2017-11-26 23:59:59.999999999,21.875,terminal,Azadpur,34.375,
producer,Shopian,American,B,2017-12-03 23:59:59.999999999,21.875,terminal,Azadpur,34.375,
producer,Shopian,American,B,2018-10-07 23:59:59.999999999,12.678571428571429,terminal,Azadpur,33.92857142857143,
producer,Shopian,American,B,2018-10-14 23:59:59.999999999,13.75,terminal,Azadpur,36.160714285714285,
producer,Shopian,American,B,2018-10-21 23:59:59.999999999,13.392857142857142,terminal,Azadpur,34.375,
producer,Shopian,American,B,2018-10-28 23:59:59.999999999,12.5,terminal,Azadpur,31.696428571428573,
producer,Shopian,American,B,2018-11-04 23:59:59.999999999,12.5,terminal,Azadpur,31.25,
producer,Shopian,American,B,2018-11-11 23:59:59.999999999,11.785714285714286,terminal,Azadpur,31.25,
producer,Shopian,American,B,2018-11-18 23:59:59.999999999,13.125,terminal,Azadpur,38.839285714285715,
producer,Shopian,American,B,2018-11-25 23:59:59.999999999,13.303571428571429,terminal,Azadpur,37.94642857142857,
producer,Shopian,American,B,2018-12-02 23:59:59.999999999,14.375,terminal,Azadpur,35.267857142857146,
producer,Shopian,American,B,2019-10-06 23:59:59.999999999,31.875,terminal,Azadpur,28.125,
producer,Shopian,American,B,2019-10-13 23:59:59.999999999,31.875,terminal,Azadpur,28.125,
producer,Shopian,American,B,2019-10-20 23:59:59.999999999,31.875,terminal,Azadpur,28.125,
producer,Shopian,American,B,2019-10-27 23:59:59.999999999,31.875,terminal,Azadpur,28.125,
producer,Shopian,American,B,2019-11-03 23:59:59.999999999,31.875,terminal,Azadpur,28.125,
producer,Shopian,American,B,2019-11-10 23:59:59.999999999,31.875,terminal,Azadpur,28.125,
producer,Shopian,American,B,2019-11-17 23:59:59.999999999,31.875,terminal,Azadpur,28.571428571428573,
producer,Shopian,American,B,2019-11-24 23:59:59.999999999,31.875,terminal,Azadpur,29.464285714285715,
producer,Shopian,American,B,2019-12-01 23:59:59.999999999,31.875,terminal,Azadpur,37.5,
producer,Shopian,American,B,2020-10-04 23:59:59.999999999,21.875,terminal,Azadpur,33.75,
producer,Shopian,American,B,2020-10-11 23:59:59.999999999,25.0,terminal,Azadpur,35.714285714285715,
producer,Shopian,American,B,2020-10-18 23:59:59.999999999,18.75,terminal,Azadpur,39.017857142857146,
producer,Shopian,American,B,2020-10-25 23:59:59.999999999,22.321428571428573,terminal,Azadpur,34.82142857142857,
producer,Shopian,American,B,2020-11-01 23:59:59.999999999,22.857142857142858,terminal,Azadpur,31.25,
producer,Shopian,American,B,2020-11-08 23:59:59.999999999,21.25,terminal,Azadpur,31.25,
producer,Shopian,American,B,2020-11-15 23:59:59.999999999,21.25,terminal,Azadpur,36.607142857142854,
producer,Shopian,American,B,2020-11-22 23:59:59.999999999,22.857142857142858,terminal,Azadpur,31.25,
producer,Shopian,American,B,2020-11-29 23:59:59.999999999,25.0,terminal,Azadpur,30.357142857142858,
producer,Shopian,American,B,2020-12-06 23:59:59.999999999,25.0,terminal,Azadpur,31.875,
producer,Shopian,American,B,2021-10-03 23:59:59.999999999,18.75,terminal,Azadpur,28.125,
producer,Shopian,American,B,2021-10-10 23:59:59.999999999,22.678571428571427,terminal,Azadpur,28.125,
producer,Shopian,American,B,2021-10-17 23:59:59.999999999,25.0,terminal,Azadpur,28.125,
producer,Shopian,American,B,2021-10-24 23:59:59.999999999,23.035714285714285,terminal,Azadpur,28.125,
