week_end,avg_price_prod,avg_price_term,log_price_prod,log_price_term,NASCDI,NASCDI_pos,NASCDI_neg
2017-10-01,13.75,31.25,2.6210388241125804,3.4420193761824107,106.60921836740148,219.01372757810609,224.0511952641018
2017-10-08,14.821428571428571,31.25,2.6960740100554945,3.4420193761824107,108.14065416678092,220.54516337748552,224.0511952641018
2017-10-15,16.517857142857142,31.25,2.8044420467772757,3.4420193761824107,106.77145791184432,220.54516337748552,225.4203915190384
2017-10-22,18.75,33.92857142857143,2.9311937524164198,3.524257474419383,106.3598428183531,220.54516337748552,225.8320066125296
2017-10-29,18.75,34.375,2.9311937524164198,3.5373295559867355,107.35562506053338,221.54094561966582,225.8320066125296
2017-11-05,20.089285714285715,34.375,3.0001866239033714,3.5373295559867355,110.3355720126963,224.52089257182874,225.8320066125296
2017-11-12,21.875,34.375,3.0853444322436783,3.5373295559867355,107.89272401147302,224.52089257182874,228.2748546137529
2017-11-19,21.875,34.375,3.0853444322436783,3.5373295559867355,108.66109509803655,225.28926365839226,228.2748546137529
2017-11-26,21.875,34.375,3.0853444322436783,3.5373295559867355,105.97601696133805,225.28926365839226,230.9599327504514
2017-12-03,21.875,34.375,3.0853444322436783,3.5373295559867355,107.0549969803488,226.36824367740303,230.9599327504514
2018-10-07,12.678571428571429,33.92857142857143,2.5399132793002117,3.524257474419383,93.01295813050994,273.63966871259225,292.27339663547957
2018-10-14,13.75,36.160714285714285,2.6210388241125804,3.58797328880549,93.01295813050994,273.63966871259225,292.27339663547957
2018-10-21,13.392857142857142,34.375,2.594721515795207,3.5373295559867355,93.01295813050994,273.63966871259225,292.27339663547957
2018-10-28,12.5,31.696428571428573,2.5257286443082556,3.456204011174367,93.01295813050994,273.63966871259225,292.27339663547957
2018-11-04,12.5,31.25,2.5257286443082556,3.4420193761824107,93.01295813050994,273.63966871259225,292.27339663547957
2018-11-11,11.785714285714286,31.25,2.466888144285322,3.4420193761824107,93.01295813050994,273.63966871259225,292.27339663547957
2018-11-18,13.125,38.839285714285715,2.5745188084776873,3.659432252787635,93.01295813050994,273.63966871259225,292.27339663547957
2018-11-25,13.303571428571429,37.94642857142857,2.5880325276444105,3.636175390623368,93.01295813050994,273.63966871259225,292.27339663547957
