week_end,avg_price_prod,avg_price_term,log_price_prod,log_price_term,NASCDI,NASCDI_pos,NASCDI_neg
2015-09-06,31.25,25.0,3.4420193761824107,3.2188758248682006,112.0803483308305,82.68732735032295,82.25366507288952
2015-09-13,18.080357142857142,25.0,2.894826108245545,3.2188758248682006,110.1767286689604,82.68732735032295,84.15728473475963
2015-09-20,17.633928571428573,25.892857142857142,2.869824806040128,3.253967144679471,109.30053364121976,82.68732735032295,85.03347976250026
2015-09-27,20.758928571428573,31.919642857142858,3.0329764467263622,3.4632215838330134,111.12056321089077,84.50735691999395,85.03347976250026
2015-10-04,23.4375,35.044642857142854,3.1543373037306295,3.556622758921414,108.89688404548572,84.50735691999395,87.25715892790531
2015-10-11,24.553571428571427,45.982142857142854,3.2008573193655225,3.828253122362687,110.40129763556284,86.01177051007107,87.25715892790531
2015-10-18,19.196428571428573,47.098214285714285,2.954724249826614,3.8522350870491726,109.87869565065752,86.01177051007107,87.77976091281063
2015-10-25,23.4375,40.625,3.1543373037306295,3.7043836406499016,110.37544385292638,86.50851871233994,87.77976091281063
2015-11-01,21.875,47.098214285714285,3.0853444322436783,3.8522350870491726,125.6132773487858,101.74635220819935,87.77976091281063
2015-11-08,22.544642857142858,47.32142857142857,3.1154974704143656,3.8569632282451187,111.9297166786513,101.74635220819935,101.46332158294513
2015-11-15,17.857142857142858,42.410714285714285,2.882403588246988,3.747401025733592,113.16800806659045,102.9846435961385,101.46332158294513
2015-11-22,18.75,41.74107142857143,2.9311937524164198,3.731485570427693,110.09597497976112,102.9846435961385,104.53535466977445
2015-11-29,20.535714285714285,41.74107142857143,3.0221655306221464,3.731485570427693,111.74421674301672,104.6328853593941,104.53535466977445
2015-12-06,18.973214285714285,43.526785714285715,2.9430282100634226,3.773376512136853,110.08483992042908,104.6328853593941,106.1947314923621
2015-12-13,20.089285714285715,43.75,3.0001866239033714,3.7784916128036232,114.04344727322818,108.5914927121932,106.1947314923621
2015-12-20,15.178571428571429,43.75,2.719884658749213,3.7784916128036232,112.88160759222562,108.5914927121932,107.35657117336466
2015-12-27,17.857142857142858,43.75,2.882403588246988,3.7784916128036232,114.63646757352136,110.34635269348894,107.35657117336466
2016-01-03,20.982142857142858,43.080357142857146,3.0436717358431102,3.763067142477992,111.63255758225854,110.34635269348894,110.36048116462747
2016-01-10,21.875,43.75,3.0853444322436783,3.7784916128036232,110.62736125117574,110.34635269348894,111.36567749571027
2016-01-17,21.205357142857142,39.955357142857146,3.054253845173647,3.6877627594138613,108.39717976637556,110.34635269348894,113.59585898051046
2016-01-24,18.75,42.1875,2.9311937524164198,3.7421239686327485,108.52620425528936,110.47537718240274,113.59585898051046
2016-01-31,21.428571428571427,40.892857142857146,3.0647251450409425,3.710955405813136,112.51139823941052,114.4605711665239,113.59585898051046
2016-02-07,21.875,30.446428571428573,3.0853444322436783,3.415968698982468,120.04995550618482,121.9991284332982,113.59585898051046
2016-02-14,21.875,30.267857142857142,3.0853444322436783,3.4100863290794012,117.39829973249574,121.9991284332982,116.24751475419953
2016-02-21,21.875,33.125,3.0853444322436783,3.5002882843063863,112.80219699830464,121.9991284332982,120.84361748839063
2016-02-28,21.875,33.75,3.0853444322436783,3.518980417318539,113.68620288056516,122.88313431555872,120.84361748839063
2016-09-04,21.875,27.5,3.0853444322436783,3.3141860046725258,115.9038144726542,154.9390134670462,150.68188504778914
2016-09-11,21.875,27.5,3.0853444322436783,3.3141860046725258,111.7166142215014,154.9390134670462,154.86908529894194
2016-09-18,21.875,27.5,3.0853444322436783,3.3141860046725258,112.24076268214402,155.46316192768882,154.86908529894194
2016-09-25,21.875,27.5,3.0853444322436783,3.3141860046725258,109.12454797517452,155.46316192768882,157.98530000591143
2016-10-02,21.875,27.5,3.0853444322436783,3.3141860046725258,108.6576789768205,155.46316192768882,158.45216900426544
2016-10-09,21.875,27.5,3.0853444322436783,3.3141860046725258,108.43340884686998,155.46316192768882,158.67643913421597
2016-10-16,21.875,27.5,3.0853444322436783,3.3141860046725258,108.30313635398012,155.46316192768882,158.8067116271058
2016-10-23,21.875,27.5,3.0853444322436783,3.3141860046725258,107.38298997508905,155.46316192768882,159.7268580059969
2016-10-30,21.875,27.5,3.0853444322436783,3.3141860046725258,107.1279574528144,155.46316192768882,159.98189052827155
2016-11-06,21.875,27.5,3.0853444322436783,3.3141860046725258,108.20688185501294,156.54208632988735,159.98189052827155
2016-11-13,21.875,27.5,3.0853444322436783,3.3141860046725258,106.86853539747224,156.54208632988735,161.32023698581224
2016-11-20,21.875,27.5,3.0853444322436783,3.3141860046725258,108.27319894951948,157.94674988193458,161.32023698581224
2016-11-27,21.875,27.5,3.0853444322436783,3.3141860046725258,107.38586526786848,157.94674988193458,162.20757066746324
2016-12-04,21.875,33.92857142857143,3.0853444322436783,3.524257474419383,107.05490961507326,157.94674988193458,162.53852632025848
2016-12-11,21.875,38.75,3.0853444322436783,3.657130755799356,108.21008400662048,159.1019242734818,162.53852632025848
2016-12-18,21.875,38.75,3.0853444322436783,3.657130755799356,108.643588456326,159.53542872318735,162.53852632025848
2016-12-25,21.875,40.535714285714285,3.0853444322436783,3.702183419740299,109.06108163791734,159.9529219047787,162.53852632025848
2017-01-01,21.875,45.0,3.0853444322436783,3.8066624897703196,111.47154299062174,162.3633832574831,162.53852632025848
2017-01-08,21.875,45.0,3.0853444322436783,3.8066624897703196,118.75667035997591,169.64851062683726,162.53852632025848
2017-01-15,21.875,45.0,3.0853444322436783,3.8066624897703196,114.84080661418312,169.64851062683726,166.45439006605127
2017-01-22,21.875,45.0,3.0853444322436783,3.8066624897703196,116.12840339438506,170.9361074070392,166.45439006605127
2017-01-29,21.875,45.0,3.0853444322436783,3.8066624897703196,130.60868434013895,185.4163883527931,166.45439006605127
2017-02-05,21.875,45.0,3.0853444322436783,3.8066624897703196,117.46419378793595,185.4163883527931,179.59888061825427
2017-02-12,21.875,44.285714285714285,3.0853444322436783,3.7906621484238787,112.369372373634,185.4163883527931,184.69370203255625
2017-02-19,21.875,42.5,3.0853444322436783,3.7495040759303713,107.63165617460908,185.4163883527931,189.43141823158118
2017-02-26,21.875,42.5,3.0853444322436783,3.7495040759303713,110.932098524343,188.71683070252703,189.43141823158118
2017-03-05,21.875,39.732142857142854,3.0853444322436783,3.6821605038651914,110.30532285246558,188.71683070252703,190.0581939034586
2017-09-03,22.991071428571427,31.25,3.135105941802742,3.4420193761824107,109.52387171184353,218.3692956196549,220.4921099612086
2017-09-10,24.642857142857142,31.25,3.2044870874161013,3.4420193761824107,108.86001105866386,218.3692956196549,221.15597061438825
2017-09-17,24.107142857142858,31.25,3.182508180697326,3.4420193761824107,109.50444301711504,219.01372757810609,221.15597061438825
2017-09-24,21.651785714285715,31.25,3.0750879320764892,3.4420193761824107,108.10911524575567,219.01372757810609,222.5512983857476
2017-10-01,19.866071428571427,31.25,2.989013323305246,3.4420193761824107,106.60921836740148,219.01372757810609,224.0511952641018
2017-10-08,19.866071428571427,31.25,2.989013323305246,3.4420193761824107,108.14065416678092,220.54516337748552,224.0511952641018
2017-10-15,20.982142857142858,35.714285714285715,3.0436717358431102,3.575550768806933,106.77145791184432,220.54516337748552,225.4203915190384
2017-10-22,21.428571428571427,37.5,3.0647251450409425,3.624340932976365,106.3598428183531,220.54516337748552,225.8320066125296
2017-10-29,21.875,37.5,3.0853444322436783,3.624340932976365,107.35562506053338,221.54094561966582,225.8320066125296
2017-11-05,21.875,37.5,3.0853444322436783,3.624340932976365,110.3355720126963,224.52089257182874,225.8320066125296
2017-11-12,21.875,37.5,3.0853444322436783,3.624340932976365,107.89272401147302,224.52089257182874,228.2748546137529
2017-11-19,21.875,37.5,3.0853444322436783,3.624340932976365,108.66109509803655,225.28926365839226,228.2748546137529
2017-11-26,21.875,37.5,3.0853444322436783,3.624340932976365,105.97601696133805,225.28926365839226,230.9599327504514
2017-12-03,21.875,37.5,3.0853444322436783,3.624340932976365,107.0549969803488,226.36824367740303,230.9599327504514
2017-12-10,21.875,37.5,3.0853444322436783,3.624340932976365,115.45783768185932,234.77108437891354,230.9599327504514
2017-12-17,21.875,39.50892857142857,3.0853444322436783,3.6765266861469352,116.04009508185638,235.3533417789106,230.9599327504514
2017-12-24,21.875,40.401785714285715,3.0853444322436783,3.698873984838932,110.13173808400698,235.3533417789106,236.8682897483008
2017-12-31,21.875,35.267857142857146,3.0853444322436783,3.5629719866000733,106.82206568842112,235.3533417789106,240.17796214388667
2018-01-07,21.875,30.580357142857142,3.0853444322436783,3.420357879401231,113.79282866727716,242.32410475776663,240.17796214388667
2018-01-14,21.875,28.125,3.0853444322436783,3.3366588605245844,109.1601178700614,242.32410475776663,244.81067294110244
2018-01-21,21.875,28.125,3.0853444322436783,3.3366588605245844,109.8981574189519,243.06214430665713,244.81067294110244
2018-01-28,21.875,28.125,3.0853444322436783,3.3366588605245844,109.14685427552534,243.06214430665713,245.561976084529
2018-02-04,21.875,28.125,3.0853444322436783,3.3366588605245844,111.95239194769222,245.867681978824,245.561976084529
2018-02-11,21.875,28.125,3.0853444322436783,3.3366588605245844,105.0424682232522,245.867681978824,252.471899808969
2018-02-18,21.875,28.125,3.0853444322436783,3.3366588605245844,109.69880503075268,250.5240187863245,252.471899808969
2018-02-25,21.875,28.125,3.0853444322436783,3.3366588605245844,107.89488604387546,250.5240187863245,254.27581879584622
