market_role,producer_market,variety,grade,week_end,avg_price_prod,avg_price_term,terminal_market,log_price_prod,log_price_term,NASCDI,d_nascdi,NASCDI_pos,NASCDI_neg
producer,Shopian,American,A,2017-10-01,25.0,50.0,Azadpur,3.2188758248682006,3.912023005428146,106.60921836740148,-1.4998968783541926,219.01372757810609,224.0511952641018
producer,Shopian,American,A,2017-10-08,26.428571428571427,50.0,Azadpur,3.2744456760230114,3.912023005428146,108.14065416678092,1.5314357993794374,220.54516337748552,224.0511952641018
producer,Shopian,American,A,2017-10-15,27.857142857142858,50.0,Azadpur,3.3270894095084333,3.912023005428146,106.77145791184432,-1.3691962549365968,220.54516337748552,225.4203915190384
producer,Shopian,American,A,2017-10-22,28.75,52.67857142857143,Azadpur,3.3586377672433594,3.9642087585987165,106.3598428183531,-0.4116150934912213,220.54516337748552,225.8320066125296
producer,Shopian,American,A,2017-10-29,28.75,53.125,Azadpur,3.3586377672433594,3.972647627244581,107.35562506053338,0.9957822421802831,221.54094561966582,225.8320066125296
producer,Shopian,American,A,2017-11-05,29.821428571428573,53.125,Azadpur,3.3952272146756517,3.972647627244581,110.3355720126963,2.979946952162919,224.52089257182874,225.8320066125296
producer,Shopian,American,A,2017-11-12,31.25,53.125,Azadpur,3.4420193761824107,3.972647627244581,107.89272401147302,-2.4428480012232825,224.52089257182874,228.2748546137529
producer,Shopian,American,A,2017-11-19,31.25,53.125,Azadpur,3.4420193761824107,3.972647627244581,108.66109509803655,0.7683710865635334,225.28926365839226,228.2748546137529
producer,Shopian,American,A,2017-11-26,31.25,53.125,Azadpur,3.4420193761824107,3.972647627244581,105.97601696133805,-2.6850781366985075,225.28926365839226,230.9599327504514
producer,Shopian,American,A,2017-12-03,31.25,53.125,Azadpur,3.4420193761824107,3.972647627244581,107.0549969803488,1.078980019010757,226.36824367740303,230.9599327504514
producer,Shopian,American,A,2018-10-07,22.321428571428573,53.57142857142857,Azadpur,3.1055471395611978,3.9810158769150976,93.01295813050994,0.0,273.63966871259225,292.27339663547957
producer,Shopian,American,A,2018-10-14,25.0,55.357142857142854,Azadpur,3.2188758248682006,4.013805699738088,93.01295813050994,0.0,273.63966871259225,292.27339663547957
producer,Shopian,American,A,2018-10-21,23.214285714285715,50.0,Azadpur,3.144767852714479,3.912023005428146,93.01295813050994,0.0,273.63966871259225,292.27339663547957
producer,Shopian,American,A,2018-10-28,18.75,48.214285714285715,Azadpur,2.9311937524164198,3.8756553612572713,93.01295813050994,0.0,273.63966871259225,292.27339663547957
producer,Shopian,American,A,2018-11-04,18.75,48.214285714285715,Azadpur,2.9311937524164198,3.8756553612572713,93.01295813050994,0.0,273.63966871259225,292.27339663547957
producer,Shopian,American,A,2018-11-11,16.517857142857142,40.17857142857143,Azadpur,2.8044420467772757,3.693333804463317,93.01295813050994,0.0,273.63966871259225,292.27339663547957
producer,Shopian,American,A,2018-11-18,18.75,52.67857142857143,Azadpur,2.9311937524164198,3.9642087585987165,93.01295813050994,0.0,273.63966871259225,292.27339663547957
producer,Shopian,American,A,2018-11-25,19.196428571428573,50.892857142857146,Azadpur,2.954724249826614,3.929722582527547,93.01295813050994,0.0,273.63966871259225,292.27339663547957
producer,Shopian,American,A,2018-12-02,21.875,50.0,Azadpur,3.0853444322436783,3.912023005428146,93.01295813050994,0.0,273.63966871259225,292.27339663547957
producer,Shopian,American,A,2019-10-06,48.125,46.875,Azadpur,3.8738017926079484,3.847484484290575,103.37733461995798,-5.890621577860642,314.86562131498005,323.13497274841933
producer,Shopian,American,A,2019-10-13,48.125,46.875,Azadpur,3.8738017926079484,3.847484484290575,93.01295813050994,-10.364376489448034,314.86562131498005,333.49934923786736
producer,Shopian,American,A,2019-10-20,48.125,46.875,Azadpur,3.8738017926079484,3.847484484290575,93.01295813050994,0.0,314.86562131498005,333.49934923786736
producer,Shopian,American,A,2019-10-27,48.125,46.875,Azadpur,3.8738017926079484,3.847484484290575,93.01295813050994,0.0,314.86562131498005,333.49934923786736
producer,Shopian,American,A,2019-11-03,48.125,46.875,Azadpur,3.8738017926079484,3.847484484290575,93.01295813050994,0.0,314.86562131498005,333.49934923786736
producer,Shopian,American,A,2019-11-10,48.125,48.660714285714285,Azadpur,3.8738017926079484,3.8848720163621953,93.01295813050994,0.0,314.86562131498005,333.49934923786736
producer,Shopian,American,A,2019-11-17,48.125,49.107142857142854,Azadpur,3.8738017926079484,3.8940044999254675,93.01295813050994,0.0,314.86562131498005,333.49934923786736
producer,Shopian,American,A,2019-11-24,48.125,56.25,Azadpur,3.8738017926079484,4.029806041084529,93.01295813050994,0.0,314.86562131498005,333.49934923786736
