,Producer price,Terminal price,Price spread
Mean,36.96659599380504,46.709509348410215,9.742913354605166
Std. Dev.,14.006083014694001,13.806210562826811,10.765460463993854
Min,10.044642857142858,18.75,-25.0
Max,73.66071428571429,90.0,46.69642857142857
