,NASCDI,NASCDI_pos,NASCDI_neg
Mean,99.63579381550755,581.645587028212,579.23943926958
Std. Dev.,8.42836168514053,171.53348652846896,171.23872110174796
Min,97.2296460568755,300.92463041201864,300.9246304120186
Max,139.92841118290517,870.2414987590807,870.2414987590805
