producer_market,variety,grade,ljungbox_p(8),bp_heterosk_p
Shopian,American,A,0.9370331504290048,0.7512437221951404
Shopian,American,B,0.44744761164015634,0.6550503160293928
Shopian,Delicious,A,0.7200108439574304,2.8780739314422012e-05
Shopian,Delicious,B,0.8977420228969111,0.025006048082672434
Sopore,American,A,0.6743379773752842,0.014281669073361473
Sopore,American,B,0.34782918403857277,0.00024123685833627397
Sopore,Delicious,A,0.9661947207808899,1.3699362482086876e-12
Sopore,Delicious,B,0.45414932163415556,1.0374907941926674e-05
