market,variety,grade,param,coef,se_OLS,p_OLS,t_HAC,se_HAC,p_HAC,n_obs,file
Shopian,American,A,const,0.2644058684154368,0.3524197658851216,0.4567611338405144,1.463683429896467,0.1806441632219198,0.14979888960603432,72,weekly_model_Shopian_American_A_posneg.csv
Shopian,American,A,dn_L0,0.10167354166084364,0.0235563691064137,7.89725816765924e-05,6.481613941143574,0.015686454420780423,4.589330536914096e-08,72,weekly_model_Shopian_American_A_posneg.csv
Shopian,American,A,dn_L1,0.0043906976301793105,0.05064454801988444,0.9312735302954839,0.10415691722968258,0.04215464269643392,0.9174788206541895,72,weekly_model_Shopian_American_A_posneg.csv
Shopian,American,A,dn_L2,0.015372865195062339,0.04115567056391491,0.710398983616088,0.4472477929393609,0.03437214322295523,0.6567079312912749,72,weekly_model_Shopian_American_A_posneg.csv
Shopian,American,A,dn_L3,0.005459176757631174,0.030858999790050853,0.8603257100915872,0.36241398140661346,0.015063372379958499,0.7186335558903352,72,weekly_model_Shopian_American_A_posneg.csv
Shopian,American,A,dn_L4,0.0019148486441097163,0.014486485777390508,0.8953930973106856,0.5641376585737998,0.0033942932456426647,0.5752870985300466,72,weekly_model_Shopian_American_A_posneg.csv
Shopian,American,A,dp_L0,-0.09841727476889763,0.023181399608974845,9.933756718691087e-05,-6.326685849501655,0.015555897212226813,7.930964627311635e-08,72,weekly_model_Shopian_American_A_posneg.csv
Shopian,American,A,dp_L1,-0.0048334309084035534,0.050717225985914605,0.9244720582519115,-0.11389101901628584,0.042439087385041284,0.9097992326246009,72,weekly_model_Shopian_American_A_posneg.csv
Shopian,American,A,dp_L2,-0.015270726542392825,0.04121808976125016,0.7126503291130837,-0.4419104241800862,0.034556158232125656,0.6605386617751379,72,weekly_model_Shopian_American_A_posneg.csv
Shopian,American,A,dp_L3,-0.006143678977393579,0.030847660092075103,0.8429773551157758,-0.40328147599990843,0.015234220620128294,0.6885319999311021,72,weekly_model_Shopian_American_A_posneg.csv
Shopian,American,A,dp_L4,-0.002390856334833393,0.014461493922771474,0.8693819856681386,-0.7270850808347727,0.0032882758811230593,0.4707052745791537,72,weekly_model_Shopian_American_A_posneg.csv
Shopian,American,A,dx_L0,0.4598975534406507,0.11098387960462684,0.00013786933517129566,4.3922445216067985,0.10470672822933093,6.159653935637709e-05,72,weekly_model_Shopian_American_A_posneg.csv
Shopian,American,A,dx_L1,-0.17140803045312084,0.12626735985377427,0.18097057871957803,-1.454835595404823,0.11781951926012972,0.15222355966705026,72,weekly_model_Shopian_American_A_posneg.csv
Shopian,American,A,dx_L2,0.04664200620864106,0.12892948994068298,0.7191163616136698,0.5936882961075615,0.07856312228899102,0.5555082042848059,72,weekly_model_Shopian_American_A_posneg.csv
Shopian,American,A,dx_L3,-0.0411078750374194,0.12705342622291615,0.7476857919393833,-0.3439473700428489,0.11951792226903257,0.7323880744756305,72,weekly_model_Shopian_American_A_posneg.csv
Shopian,American,A,dx_L4,-0.021126238968274466,0.12972206741628006,0.8713141809683643,-0.2841486133684944,0.07434925941685727,0.7775186909568681,72,weekly_model_Shopian_American_A_posneg.csv
Shopian,American,A,dy_L1,-0.09372619946818084,0.14960441287739087,0.5339595821904061,-0.8737532832791722,0.10726849473621314,0.3866032179277784,72,weekly_model_Shopian_American_A_posneg.csv
Shopian,American,A,dy_L2,-0.09913004316591692,0.1508293644893631,0.5141703458461944,-1.1765352476751327,0.08425590594230026,0.2451829128250031,72,weekly_model_Shopian_American_A_posneg.csv
Shopian,American,A,dy_L3,0.11899471854529525,0.15822978898621606,0.45570059775269933,0.8779169392467988,0.13554211477840458,0.3843621430118208,72,weekly_model_Shopian_American_A_posneg.csv
Shopian,American,A,dy_L4,0.010326345176775342,0.1599981824339894,0.9488079912762933,0.0716206370703461,0.14418114106738203,0.9432014070887376,72,weekly_model_Shopian_American_A_posneg.csv
Shopian,American,A,n_L1,0.07623264838882285,0.0643573924101701,0.2420392623452871,1.5230808170766337,0.050051610875870685,0.1343001456076131,72,weekly_model_Shopian_American_A_posneg.csv
Shopian,American,A,p_L1,-0.07622231745234287,0.06440110402369442,0.24241736956372792,-1.5219188436247586,0.05008303680030924,0.13459058868614276,72,weekly_model_Shopian_American_A_posneg.csv
Shopian,American,A,x_L1,0.05245881110384027,0.06657015193955321,0.43455771156977585,1.282136273095537,0.04091516027168148,0.20595285747172867,72,weekly_model_Shopian_American_A_posneg.csv
Shopian,American,A,y_L1,-0.11624726400592522,0.08249621380220094,0.1652447437022917,-2.7711008909167605,0.041949849024611754,0.007924733929905217,72,weekly_model_Shopian_American_A_posneg.csv
Shopian,American,B,const,0.23471536984883218,0.313432703486863,0.457599233230502,1.319813954605845,0.17783973947974252,0.19315733773075017,72,weekly_model_Shopian_American_B_posneg.csv
Shopian,American,B,dn_L0,0.09155870368309313,0.022655519012100465,0.0001912316737065432,4.528453562273534,0.020218536510094098,3.932830741365603e-05,72,weekly_model_Shopian_American_B_posneg.csv
Shopian,American,B,dn_L1,-0.01867492589799152,0.04860141323438911,0.7024927546835467,-0.4752761462464087,0.039292790192566145,0.636745862333827,72,weekly_model_Shopian_American_B_posneg.csv
Shopian,American,B,dn_L2,0.009030274975021953,0.03901390417010045,0.8179390223285806,0.27531793527088266,0.03279944318243253,0.7842537159250637,72,weekly_model_Shopian_American_B_posneg.csv
Shopian,American,B,dn_L3,0.001946249335253357,0.02934576006501215,0.9473974875757482,0.08266501113197144,0.023543810236065246,0.9344616762717124,72,weekly_model_Shopian_American_B_posneg.csv
Shopian,American,B,dn_L4,-0.007405839293723667,0.015964291986274498,0.6448162059341386,-1.834423994984642,0.004037146981271181,0.07279331743496324,72,weekly_model_Shopian_American_B_posneg.csv
Shopian,American,B,dp_L0,-0.08967204252178296,0.022388864261194186,0.00021444933412564777,-4.548850859547008,0.019713119926449477,3.675852696459474e-05,72,weekly_model_Shopian_American_B_posneg.csv
Shopian,American,B,dp_L1,0.018422626945990447,0.04860701676530139,0.7063506409709135,0.4715939062653246,0.039064599226661015,0.6393533381504918,72,weekly_model_Shopian_American_B_posneg.csv
