producer_market,variety,grade,ljungbox_p(8),bp_heterosk_p
Shopian,American,A,0.9770492232815678,0.8988838730446005
Shopian,American,B,0.48155284614300253,0.5770584113806091
Shopian,Delicious,A,0.8072260535486211,0.0001039007131930632
Shopian,Delicious,B,0.8501418839302957,0.5377486671132872
Sopore,American,A,0.7368874094938012,0.08211890033906052
Sopore,American,B,0.7499419805600076,0.003576248137031432
Sopore,Delicious,A,0.9813118359208605,9.807122235490953e-11
Sopore,Delicious,B,0.7887673965701841,3.4066187731074334e-05
