market,variety,grade,y_col,x_col,n_obs,ECT_y_L1_coef,ECT_p_OLS,ECT_p_HAC,x_L1_p_OLS,p_L1_p_OLS,n_L1_p_OLS,x_L1_p_HAC,p_L1_p_HAC,n_L1_p_HAC,LR_pass_through_prod,LR_effect_NASCDI_pos,LR_effect_NASCDI_neg,R2,AIC,BIC,file
Shopian,American,A,log_price_term,log_price_prod,72,-0.11624726400592522,0.1652447437022917,0.007924733929905217,0.43455771156977585,0.24241736956372792,0.2420392623452871,0.20595285747172867,0.13459058868614276,0.1343001456076131,0.4512692109567964,-0.6556912810305604,0.6557801513929584,0.5021804030776913,-136.8473068624827,-82.20732000609738,weekly_model_Shopian_American_A_posneg.csv
Shopian,American,B,log_price_term,log_price_prod,72,-0.11554011664951332,0.16892066048807644,0.013694193646054604,0.3905985799232077,0.07779796775435863,0.07753280593039512,0.304238780480328,0.010492276946430066,0.010427212483696982,0.46311814502105575,-0.9205809166456845,0.920760537198692,0.4236446445697475,-122.29846020721877,-67.65847335083345,weekly_model_Shopian_American_B_posneg.csv
Shopian,Delicious,A,log_price_term,log_price_prod,110,-0.24802445479891874,0.011254137115500492,0.0031621913364559082,0.006319082739518535,0.13145031937784138,0.12771268454437365,0.008318318925872136,0.04231215008818545,0.03961422271078753,0.8943896530843346,-0.015799717156697896,0.015879407209543984,0.4247525370893992,-203.17277471334444,-138.36124593432643,weekly_model_Shopian_Delicious_A_posneg.csv
Shopian,Delicious,B,log_price_term,log_price_prod,110,-0.09821854906839228,0.2020450751159863,0.09760759503162104,0.09001402161017803,0.2153264142990183,0.20430740461095034,0.01167935018665722,0.11261462840996188,0.10162683549364267,1.197285976848844,-0.03877803743293086,0.03966090759940086,0.5322659090985931,-142.70126257560287,-77.88973379658486,weekly_model_Shopian_Delicious_B_posneg.csv
Sopore,American,A,log_price_term,log_price_prod,200,-0.3618612563816089,9.926720594416329e-08,0.0011660870465271466,0.7824032149219964,0.7742529258139903,0.6744717136794627,0.8159113292352758,0.5224038323877922,0.32369161633098975,0.04060421868153456,-0.0013293828368833342,0.0019459280765565332,0.27274913588676486,-265.0339746101845,-185.87435781303162,weekly_model_Sopore_American_A_posneg.csv
Sopore,American,B,log_price_term,log_price_prod,200,-0.28065194812986116,4.2371665334639245e-06,0.00027343462622127625,0.8282190325946532,0.34141006782010075,0.2932162059746077,0.8623485838211911,0.13351062901477162,0.0873920030268527,0.04428467579280428,-0.006844030683601188,0.007501751790344164,0.24739530550353916,-227.65939633298825,-148.4997795358354,weekly_model_Sopore_American_B_posneg.csv
Sopore,Delicious,A,log_price_term,log_price_prod,236,-0.16298870251064546,0.00011902307265653082,6.71991809443846e-05,0.007080012476066769,0.9884426296992309,0.9720107103618549,0.014275997815132557,0.9849928147952387,0.9635839490241227,0.5484257852685099,9.571480168856643e-05,0.00023203893763110522,0.21735556485184582,-510.7535507029287,-427.62158738231403,weekly_model_Sopore_Delicious_A_posneg.csv
Sopore,Delicious,B,log_price_term,log_price_prod,236,-0.13841403110472725,7.200026200393186e-05,0.00026077297516523,0.032311495534429406,0.7349842192066989,0.7257012635637814,0.024178830181895487,0.615322198164206,0.600724432994935,0.4312405689078988,-0.0034821841628543664,0.0036029543755343755,0.22996157753591795,-395.993152508658,-312.86118918804334,weekly_model_Sopore_Delicious_B_posneg.csv
