Market,Variety,Grade,Producer_mean,Producer_sd,Terminal_mean,Terminal_sd,Observations
Shopian,American,A,36.68280380333952,9.257437728682659,53.91465677179963,9.257091342659844,77
Shopian,American,B,23.6044758812616,6.595294424909067,35.53107606679035,6.9879360344665535,77
Shopian,Delicious,A,47.237060041407865,11.278744441301187,59.56614906832298,11.40744235399651,115
Shopian,Delicious,B,30.32835144927536,8.132328841513988,39.78043478260869,9.749783388624351,115
Sopore,American,A,48.691267421602795,12.11353532880255,52.3523519163763,11.180890882862213,205
Sopore,American,B,26.308493031358882,7.592662133880508,35.679790940766544,8.934050056176094,205
Sopore,Delicious,A,46.84264473424225,11.050088022158848,57.40627593360996,11.840492084065799,241
Sopore,Delicious,B,28.8099807350326,10.26657350466966,39.03590693538826,9.201273525254045,241
