vulnerability_rank,producer_market,variety,grade,LR_effect_NASCDI_pos,LR_effect_NASCDI_neg,ECT_y_L1,vulnerability,bounds_F_pvalue,R2,VI_baseline
1,Shopian,American,A,-35.18002209021463,35.181779157910846,-0.1326313516820484,4.665973882029488,0.0589706008168345,0.4852959292559827,0.6148574361757193
2,Shopian,American,B,-31.96649227878206,31.971869960194443,-0.1167954710315348,3.733541522926271,0.0222061172145112,0.4222775197165609,0.5723496227255715
3,Shopian,Delicious,A,-0.9248442686296848,0.9322267754357748,-0.2395731968063887,0.2215678979836801,0.0870152934345389,0.3682265702720395,0.48554408800311133
4,Shopian,Delicious,B,-1.121655369584708,1.1566278695115375,-0.1107161289331542,0.1241853405175052,0.2631537565774461,0.4080301155528314,0.7089492128476712
5,Sopore,American,B,-0.2736237269505177,0.2947851578591596,-0.3100326544232382,0.0848322903796483,0.0061394234945062,0.2929850410981499,0.34404168721362666
6,Sopore,American,A,-0.0872687216711559,0.1249210108398449,-0.3681168498070932,0.0321250869082779,0.0047364337034219,0.2913921285072383,0.2973667949366189
7,Sopore,Delicious,B,-0.1315827029528743,0.1409064430426578,-0.1456997905372165,0.0191715722585545,0.0068939818582273,0.2092712446785509,0.4275024433716427
8,Sopore,Delicious,A,0.0647557335203755,-0.0422145978641555,-0.1434181484748173,0.0092871474046209,0.0038504358647197,0.2036053622924875,0.424590576568215
