sim,spearman_vs_baseline,kendall_vs_baseline,mean_abs_diff
1,1.0,0.9999999999999998,0.020214650276836096
2,1.0,0.9999999999999998,0.01822645059353798
3,1.0,0.9999999999999998,0.023785965011176892
4,1.0,0.9999999999999998,0.022203943121843144
5,1.0,0.9999999999999998,0.014959260597893473
6,1.0,0.9999999999999998,0.017524493699280885
7,1.0,0.9999999999999998,0.008764499206940043
8,1.0,0.9999999999999998,0.0070674591074698576
9,1.0,0.9999999999999998,0.01879454061710433
10,1.0,0.9999999999999998,0.024178262395630028
11,1.0,0.9999999999999998,0.011588704548534827
12,1.0,0.9999999999999998,0.022278358724743562
13,1.0,0.9999999999999998,0.00781418190109967
14,1.0,0.9999999999999998,0.009308482798771833
15,1.0,0.9999999999999998,0.01638888788478049
16,1.0,0.9999999999999998,0.00957203946715237
17,1.0,0.9999999999999998,0.01996375760544116
18,1.0,0.9999999999999998,0.03167701953138211
19,1.0,0.9999999999999998,0.02564352682500652
20,1.0,0.9999999999999998,0.011928886845578288
21,1.0,0.9999999999999998,0.014186319302707598
22,1.0,0.9999999999999998,0.011784697583304062
23,1.0,0.9999999999999998,0.013668944415519177
24,1.0,0.9999999999999998,0.008556847299375316
25,1.0,0.9999999999999998,0.010801539441127432
26,1.0,0.9999999999999998,0.0084370076216665
27,1.0,0.9999999999999998,0.035404264213830666
28,1.0,0.9999999999999998,0.04218654355171721
29,1.0,0.9999999999999998,0.00958023090060374
30,1.0,0.9999999999999998,0.006516982965371988
31,1.0,0.9999999999999998,0.013446736725732156
32,1.0,0.9999999999999998,0.014574213487852983
33,0.9761904761904763,0.9285714285714285,0.03945339997842108
34,1.0,0.9999999999999998,0.022961144566088956
35,1.0,0.9999999999999998,0.017100904971145976
36,1.0,0.9999999999999998,0.02741429425533995
37,1.0,0.9999999999999998,0.008295322219197265
38,1.0,0.9999999999999998,0.015728658651013222
39,1.0,0.9999999999999998,0.0369666676966399
40,1.0,0.9999999999999998,0.02034603716445279
41,1.0,0.9999999999999998,0.012590915982135714
42,1.0,0.9999999999999998,0.012788827693271283
43,1.0,0.9999999999999998,0.011867711045758608
44,1.0,0.9999999999999998,0.028282251144206995
45,1.0,0.9999999999999998,0.011808683385735118
46,1.0,0.9999999999999998,0.046999444334719774
47,1.0,0.9999999999999998,0.02209738762899733
48,1.0,0.9999999999999998,0.02432675850889235
49,1.0,0.9999999999999998,0.011181414698733579
50,1.0,0.9999999999999998,0.016667379013945355
51,1.0,0.9999999999999998,0.007899666484463726
52,1.0,0.9999999999999998,0.010732435194831406
53,1.0,0.9999999999999998,0.03627990759098597
54,1.0,0.9999999999999998,0.003899648403284779
55,1.0,0.9999999999999998,0.01606102251260612
56,1.0,0.9999999999999998,0.009549932097051163
57,1.0,0.9999999999999998,0.01291415794527593
58,1.0,0.9999999999999998,0.019688876374563846
59,1.0,0.9999999999999998,0.03424517570059386
60,1.0,0.9999999999999998,0.0027979273859413747
61,1.0,0.9999999999999998,0.0263030108463867
62,1.0,0.9999999999999998,0.008810092290881588
63,1.0,0.9999999999999998,0.005259818231619862
64,1.0,0.9999999999999998,0.00968158686392974
65,1.0,0.9999999999999998,0.018712589472989392
66,1.0,0.9999999999999998,0.00444182727073586
67,1.0,0.9999999999999998,0.027426266100106227
68,1.0,0.9999999999999998,0.022697251016834723
69,1.0,0.9999999999999998,0.03937820902605586
70,1.0,0.9999999999999998,0.011181901878758872
71,1.0,0.9999999999999998,0.020382289066053563
72,1.0,0.9999999999999998,0.009928695332922344
73,1.0,0.9999999999999998,0.040319955338889144
74,1.0,0.9999999999999998,0.01822952762568971
75,1.0,0.9999999999999998,0.02877582722269579
76,1.0,0.9999999999999998,0.03872908414373097
77,1.0,0.9999999999999998,0.012979679423662793
78,1.0,0.9999999999999998,0.018635312633884155
79,1.0,0.9999999999999998,0.02841113651431984
