dropped_component,spearman_vs_baseline,kendall_vs_baseline,mean_abs_diff
LR_effect_NASCDI_pos,0.9285714285714287,0.8571428571428571,0.1802837451988298
LR_effect_NASCDI_neg,0.6428571428571429,0.5714285714285714,0.13868538611955425
ECT_y_L1,0.7857142857142858,0.6428571428571428,0.07217601612637342
bounds_F_pvalue,0.9285714285714287,0.8571428571428571,0.06240968030000872
R2,0.9047619047619048,0.7857142857142856,0.034802096347067116
